,地段,datetime,total_price,unit_price,area,主建物佔比,型態,age,樓別/樓高,交易標的,交易筆棟數,建物現況格局,parking_price,管理組織,電梯,主要用途,備註
3280,9,2021/12/14,1700.0,59.3,28.64,88.69%,公寓(5樓含以下無電梯),20+,三層/四層,房地(土地+建物),土:2 建:1車:0,46,,無,無,0,
3281,9,2020/3/24,1350.0,50.6,26.7,100.00%,公寓(5樓含以下無電梯),20+,"四層,陽台/四層",房地(土地+建物),土:1 建:1車:0,18,,無,,0,含增建或未登記建物。;
3282,9,2022/4/12,1700.0,64.6,26.31,83.75%,公寓(5樓含以下無電梯),20+,三層/四層,房地(土地+建物),土:1 建:1車:0,18,,無,無,0,
3283,9,2023/12/30,3800.0,109.4,34.75,76.40%,公寓(5樓含以下無電梯),20+,"一層,停車場/五層",房地(土地+建物),土:2 建:1車:0,117,,無,無,3,另有一間地下室(一室)其他增建;
3284,9,2023/11/21,3268.0,115.8,28.23,88.52%,公寓(5樓含以下無電梯),20+,一層/五層,房地(土地+建物),土:1 建:1車:0,7,,無,無,0,平台外移，空地加蓋之增建物其他增建;
3285,9,2021/12/14,1635.0,66.0,24.77,88.70%,公寓(5樓含以下無電梯),20+,三層/四層,房地(土地+建物),土:1 建:1車:0,15,,無,無,0,其他增建;
3286,9,2020/8/25,1100.0,61.1,18.01,87.74%,公寓(5樓含以下無電梯),20+,三層/四層,房地(土地+建物),土:2 建:1車:0,11,,無,無,0,親友、員工、共有人或其他特殊關係間之交易;
3287,9,2024/1/10,1200.0,27.5,43.56,81.56%,華廈(10層含以下有電梯),20+,六層/七層,房地(土地+建物),土:2 建:1車:0,8,,無,有,0,親友、員工、共有人或其他特殊關係間之交易;
3288,9,2023/11/8,3150.0,75.7,41.59,83.37%,華廈(10層含以下有電梯),20+,四層/七層,房地(土地+建物),土:2 建:1車:0,15,,有,有,0,"前陽台外推前,後陽鐵鋁窗陽台外推;"
3289,9,2022/11/29,1880.0,66.6,28.23,88.52%,公寓(5樓含以下無電梯),20+,三層/五層,房地(土地+建物),土:1 建:1車:0,15,,無,無,0,
3290,9,2020/5/2,1520.0,57.8,26.31,83.75%,公寓(5樓含以下無電梯),20+,三層/四層,房地(土地+建物),土:1 建:1車:0,27,,無,無,0,陽台外推;其他增建;
3291,9,2024/1/18,4500.0,115.5,38.97,81.55%,公寓(5樓含以下無電梯),20+,一層/五層,房地(土地+建物),土:1 建:1車:0,,,無,無,0,未登記建物;
3292,9,2023/3/15,2200.0,51.5,42.72,79.07%,公寓(5樓含以下無電梯),20+,四層/五層,房地(土地+建物),土:2 建:1車:0,8,,無,無,0,陽台外推;
3293,9,2022/10/21,2280.0,53.4,42.72,79.07%,公寓(5樓含以下無電梯),20+,三層/五層,房地(土地+建物),土:2 建:1車:0,8,,無,無,0,
3294,9,2021/11/2,2168.0,59.6,36.38,76.50%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物),土:2 建:1車:0,127,,無,無,0,頂樓加蓋;
