地段,datetime,total_price,unit_price,area,主建物佔比,型態,age,樓別/樓高,交易標的,交易筆棟數,建物現況格局,parking_price,管理組織,電梯,主要用途,備註
基隆路,2023/11/27,3488,105.2,37.31,53.59%,住宅大樓(11層含以上有電梯),13,十四層/十五層,房地(土地+建物)+車位,土:2 建:1車:1,2房2廳1衛,180,有,有,住家用,坡道機械車位在地下第六層。
基隆路,2023/1/18,2178,89.1,28.27,55.24%,住宅大樓(11層含以上有電梯),12,三層/十五層,房地(土地+建物)+車位,土:2 建:1車:1,1房1廳1衛,180,有,有,住家用,車位位於地下六層。其他增建;
松勤街,2023/3/6,2030,101.8,19.94,45.49%,住宅大樓(11層含以上有電梯),15,十四層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,180,有,有,住家用,
松勤街,2019/6/11,2150,134.4,19.94,58.14%,套房(1房(1廳)1衛),11,十三層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,180,有,,住家用,含增建或未登記建物。
松仁路,2022/7/31,5158,86.6,64.18,75.28%,住宅大樓(11層含以上有電梯),26,六層/十六層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,180,有,有,住家用,陽台外推;其他增建;
文昌街,2020/10/26,4045.4,56.2,72.04,31.17%,住宅大樓(11層含以上有電梯),18,二層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,,180,有,有,商業用,
吳興街,2019/6/29,3680,45.1,82.49,92.82%,華廈(10層含以下有電梯),29,"一層,地下一層/六層",房地(土地+建物)+車位,土:1 建:1車:1,,180,無,,商業用,
吳興街,2021/4/2,1968,59.9,40.4,57.75%,華廈(10層含以下有電梯),5,二層/六層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳1衛,180,有,有,住家用,
信義路,2023/11/14,3158,79.5,39.72,51.04%,華廈(10層含以下有電梯),27,六層/六層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳1衛,180,無,有,住家用,陽台外推;其他增建;
信義路,2023/12/3,1400,72.9,19.21,46.88%,住宅大樓(11層含以上有電梯),26,四層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,180,有,有,住家用,夾層;其他增建;
信義路,2023/8/14,3430,78.2,43.86,51.17%,住宅大樓(11層含以上有電梯),26,五層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房2廳1衛,180,有,有,住家用,其他增建;
信義路,2022/11/23,2838,81.9,34.67,52.38%,住宅大樓(11層含以上有電梯),25,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,180,有,有,住家用,內梯其他增建;
信義路,2020/11/12,2788,75.1,37.13,48.90%,住宅大樓(11層含以上有電梯),23,十一層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,5房2廳2衛,180,有,有,住家用,
信義路,2022/12/13,2138,117.6,21.59,58.48%,住宅大樓(11層含以上有電梯),16,十九層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,180,有,有,住家用,陽台外推;其他增建;
信義路,2022/2/25,2550,90.1,31.25,55.45%,住宅大樓(11層含以上有電梯),15,八層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,180,有,有,住家用,其他增建;
信義路,2020/11/20,2500,83.9,32.59,56.02%,住宅大樓(11層含以上有電梯),14,十三層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,180,有,有,住家用,
永吉路,2023/12/27,3850,89,47.95,84.67%,住宅大樓(11層含以上有電梯),28,十層/十四層,房地(土地+建物)+車位,土:3 建:1車:1,3房2廳2衛,180,有,有,住家用,陽台外推;其他增建;
永吉路,2022/7/23,2350,74.6,31.51,47.91%,住宅大樓(11層含以上有電梯),15,十層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,180,有,有,住家用,夾層;其他增建;
永吉路,2023/11/11,3088,101.3,31.69,52.19%,住宅大樓(11層含以上有電梯),14,四層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳2衛,180,有,有,住家用,夾層;
永吉路,2023/8/16,2300,89.1,28.52,57.66%,華廈(10層含以下有電梯),12,三層/八層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,180,有,有,辦公用,
永吉路,2022/2/14,3880,77.3,54.69,47.43%,華廈(10層含以下有電梯),11,五層/八層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,180,有,有,住家用,
中坡南路,2022/6/12,2000,91,25.87,51.84%,華廈(10層含以下有電梯),9,三層/七層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,180,有,有,住家用,塔式車位在地下三層。 交易總價：2000萬元整。 房屋價格：1820萬元整(土地價格：1274萬元整、建物價格：546萬元整。) 車位價格：180萬元整(土地價格：126萬元整、建物價格：54萬元整。)陽台外推;夾層;其他增建;
忠孝東路,2024/1/15,2450,115.3,23.07,61.16%,華廈(10層含以下有電梯),16,七層/九層,房地(土地+建物)+車位,土:2 建:1車:1,1房1廳1衛,180,有,有,住家用,塔式車位位於地下三層。
忠孝東路,2021/4/23,1345,87.9,17.74,51.96%,住宅大樓(11層含以上有電梯),14,七層/十三層,房地(土地+建物)+車位,土:3 建:1車:1,1房1廳1衛,180,有,有,辦公用,
忠孝東路,2021/2/2,1466,82,20.18,54.69%,住宅大樓(11層含以上有電梯),14,四層/十三層,房地(土地+建物)+車位,土:3 建:1車:1,1房1廳1衛,180,有,有,辦公用,
市民大道六段,2022/7/30,1628,103.9,18.45,50.84%,住宅大樓(11層含以上有電梯),,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,185,有,有,住家用,
市民大道六段,2022/6/9,1600,93.7,19.66,50.78%,住宅大樓(11層含以上有電梯),,三層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,,185,有,有,住家用,
市民大道六段,2019/2/26,1438,90.2,18.45,50.84%,住宅大樓(11層含以上有電梯),,五層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,185,有,有,住家用,預售屋、或土地及建物分件登記案件;
市民大道六段,2019/2/26,1418,88.7,18.45,50.84%,住宅大樓(11層含以上有電梯),,四層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,185,有,有,住家用,預售屋、或土地及建物分件登記案件;
市民大道六段,2019/2/24,3168,108.5,32.06,56.41%,住宅大樓(11層含以上有電梯),,十一層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,185,有,有,住家用,買受人又轉售予第三人預售屋、或土地及建物分件登記案件;
市民大道六段,2019/2/24,1086,88.9,14.69,54.70%,住宅大樓(11層含以上有電梯),,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,185,有,有,住家用,買受人又轉售予第三人預售屋、或土地及建物分件登記案件;
市民大道六段,2019/2/24,1498,86.5,19.74,54.89%,住宅大樓(11層含以上有電梯),,六層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,185,有,有,住家用,預售屋、或土地及建物分件登記案件;
市民大道六段,2019/2/24,1084,88.7,14.69,54.70%,住宅大樓(11層含以上有電梯),,六層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,185,有,有,住家用,買受人又轉售予第三人預售屋、或土地及建物分件登記案件;
市民大道六段,2019/2/24,1498,86.5,19.74,54.89%,住宅大樓(11層含以上有電梯),,二層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,185,有,有,住家用,買受人又轉售予第三人預售屋、或土地及建物分件登記案件;
市民大道六段,2019/1/18,1110,91.3,14.69,54.70%,住宅大樓(11層含以上有電梯),,九層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,185,有,有,住家用,預售屋、或土地及建物分件登記案件;
市民大道六段,2019/1/13,1120,92.3,14.69,54.70%,住宅大樓(11層含以上有電梯),,十一層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,185,有,有,住家用,預售屋、或土地及建物分件登記案件;
市民大道六段,2019/1/10,2995,101.5,32.23,54.86%,住宅大樓(11層含以上有電梯),,十二層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,185,有,有,住家用,預售屋、或土地及建物分件登記案件;
市民大道六段,2019/1/7,1142,94.5,14.69,54.70%,住宅大樓(11層含以上有電梯),,九層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,1房1衛,185,有,有,住家用,預售屋、或土地及建物分件登記案件;
